id,title,start_date,end_date,statistics
33898,Torikaekko Please,1998-02-10,1998-02-10,"{'status': {'watching': '58', 'completed': '1693', 'on_hold': '35', 'dropped': '86', 'plan_to_watch': '446'}, 'num_list_users': 2318}"
33899,IDOLiSH7,2018-01-07,2018-05-19,"{'status': {'watching': '6231', 'completed': '29879', 'on_hold': '2762', 'dropped': '3231', 'plan_to_watch': '28681'}, 'num_list_users': 70784}"
33902,Suntory Minami Alps no Tennensui,2016-08-09,2016-08-20,"{'status': {'watching': '410', 'completed': '9758', 'on_hold': '181', 'dropped': '227', 'plan_to_watch': '4280'}, 'num_list_users': 14856}"
33903,All-Free kono Natsu Ichioshi Monogatari Campaign Kokuchi Douga,2016-06-21,2016-07-12,"{'status': {'watching': '96', 'completed': '1083', 'on_hold': '55', 'dropped': '139', 'plan_to_watch': '1022'}, 'num_list_users': 2395}"
33904,Suntory Tennensui CMs,2013,2020-03-24,"{'status': {'watching': '255', 'completed': '360', 'on_hold': '111', 'dropped': '148', 'plan_to_watch': '471'}, 'num_list_users': 1345}"
33905,Hatsune Miku: Hiyashite Narasou Okashi no Ii Oto,2016-05-31,2016-05-31,"{'status': {'watching': '64', 'completed': '2373', 'on_hold': '21', 'dropped': '50', 'plan_to_watch': '353'}, 'num_list_users': 2861}"
33906,Shangri-La (Music),2011-10-05,2011-10-05,"{'status': {'watching': '15', 'completed': '256', 'on_hold': '1', 'dropped': '31', 'plan_to_watch': '59'}, 'num_list_users': 362}"
33907,Magical Music Train,2009-08-06,2009-08-06,"{'status': {'watching': '15', 'completed': '340', 'on_hold': '3', 'dropped': '27', 'plan_to_watch': '55'}, 'num_list_users': 440}"
33908,Yasoukyoku,2011-01-04,2011-01-04,"{'status': {'watching': '11', 'completed': '281', 'on_hold': '2', 'dropped': '27', 'plan_to_watch': '69'}, 'num_list_users': 390}"
33909,Marine Dreamin',2015-04-24,2015-04-24,"{'status': {'watching': '23', 'completed': '600', 'on_hold': '10', 'dropped': '25', 'plan_to_watch': '129'}, 'num_list_users': 787}"
33910,Marine Bloomin',2016-03-24,2016-03-24,"{'status': {'watching': '19', 'completed': '605', 'on_hold': '8', 'dropped': '26', 'plan_to_watch': '152'}, 'num_list_users': 810}"
